Run ID,Name,Source Type,Source Name,User,Status,c weights,class weights,classifier,dataset,kernel,Cohen_kappa,F-beta score,accuracy,sensitivity
a675b21763e046d49266e61fe4acb0ee,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.03, 50.0]",svm,training,poly,0,0.16818899588197048,0.09181569250532437,1
46e0c99cb0fe489bb6dbfdb39b89f5a9,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,"[1.0, 1.0]",,svm,validation,poly,0,0,0.9081843074946756,0
93b573e71bdf44449ca6b3ada8f6e77c,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.01, 5.0]",svm,training,poly,0.005407350662708477,0.00681970407355538,0.9080997937865521,0.003436426116838488
03e53ff6dff94bdfa8dc6ea2bd9f35e7,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.03, 50.0]",svm,training,linear,0,0.16818899588197048,0.09181569250532437,1
dcc4a2da3341404db58b7cf7effae87f,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,"[1.0, 1.0]",,svm,validation,linear,0,0,0.9081843074946756,0
daab3533ae5d467bba717b8ea70eaf58,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.04, 100.0]",svm,training,poly,0,0.16818899588197048,0.09181569250532437,1
a7fe15361248447dbbee9e1f0e65cdbf,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,"[1.0, 1.0]",,svm,validation,poly,0,0,0.9081843074946756,0
1d1e15eea1124dd6aa31725c9cf4b155,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.02, 10.0]",svm,training,linear,0.005407350662708477,0.00681970407355538,0.9080997937865521,0.003436426116838488
820e33b0c9c742539af293a4814b4517,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.04, 100.0]",svm,training,linear,0,0.16818899588197048,0.09181569250532437,1
8766075793ff4fb68648dc977b2d8254,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.0, 1.0]",svm,training,linear,0,0,0.9081843074946756,0
d6a4a4318ee947bea4df84a3ade89175,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.01, 5.0]",svm,training,linear,0.005407350662708477,0.00681970407355538,0.9080997937865521,0.003436426116838488
69e09925f5464f9fb73a662f4052ead1,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.0, 1.0]",svm,training,poly,0,0,0.9081843074946756,0
1784011768cc438aa6d322e4629319b6,svm_test,LOCAL,/net/projects/scratch/winter/valid_until_31_July_2022/tjweber/MLinPractice/code/classification/run_classifier.py,tjweber,FINISHED,,"[1.0, 1.0]",svm,training,poly,0,0,0.9081843074946756,0
